target_col,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,Unnamed: 56,source_file,thanks.stopped,Unnamed: 46,Unnamed: 44,Unnamed: 54
white,12.0,0.0,4.0,[-0.005],[-0.03111111111111111],[1],[0],[0],[1.280130399999507],"['target', 'target']",4.0,0.0,12.0,0.0,34.71912909999992,,,,,,,,,,,34.705379600000015,34.71912909999992,0.0524844999999913,34.71912909999992,34.71912909999992,34.71912909999992,35.98694769999929,[-0.005],[-0.03111111111111111],[1],[0],[0],[1.280130399999507],"['target', 'target']",35.99628009999924,36.002995299999384,36.002995299999384,36.99941829999989,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,13.0,1.0,4.0,[-0.23722222222222222],[-0.050555555555555555],[1],[0],[0],[1.41367530000025],"['target', 'target']",4.0,1.0,13.0,1.0,37.05209249999916,,,,,,,,,,,37.03859639999973,37.05209249999916,0.0512393999997584,37.05209249999916,37.05209249999916,37.05209249999916,38.45333489999939,[-0.23722222222222222],[-0.050555555555555555],[1],[0],[0],[1.41367530000025],"['target', 'target']",38.463242799999534,38.46923339999921,38.46923339999921,39.46697969999968,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
red,14.0,2.0,4.0,[0.1938888888888889],[0.18722222222222223],[1],[0],[0],[1.5152158999999301],"['target', 'target']",4.0,2.0,14.0,2.0,39.52131709999958,,,,,,,,,,,39.5072840999992,39.52131709999958,0.053735499999675,39.52131709999958,39.52131709999958,39.52131709999958,41.02383179999924,[0.1938888888888889],[0.18722222222222223],[1],[0],[0],[1.5152158999999301],"['target', 'target']",41.03376799999933,41.04061029999957,41.04061029999957,42.034925299999486,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.045118199999706,42.05112629999985,,,,,,,,,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
,,,,,,,,,,,,,,,,,0.0084775999999919,0.0158711000000266,0.0077966999999716,2.9787167000000068,0.0177777777777777,-0.0055555555555555,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,2026-02-04_10h30.24.878,visual_search,,2024.1.5,,2026-02-04 10h30.50.313313 +0530,,12_visual_search_2026-02-04_10h30.24.878.csv,,,,
white,,,,[-0.15166666666666667],[-0.059444444444444446],[1],[0],[0],[1.8533199000000309],['target'],0.0,0.0,0.0,0.0,3.141406599999982,,,,,,,,,,,3.0301569000000086,3.141406599999982,0.1336688999999751,3.141406599999982,3.141406599999982,3.141406599999982,4.966828599999985,,,,,,,,4.968664900000022,4.992344199999991,4.992344199999991,5.977640399999984,,,,,12.0,1.0,2026-02-04_10h30.24.878,visual_search,,2024.1.5,,2026-02-04 10h30.50.313313 +0530,,12_visual_search_2026-02-04_10h30.24.878.csv,,,,
white,,,,[0.18944444444444444],[0.03277777777777778],[1],[0],[0],[1.592852999999991],['target'],0.0,1.0,1.0,1.0,6.073078699999996,,,,,,,,,,,5.978117800000007,6.073078699999996,0.0796296000000325,6.073078699999996,6.073078699999996,6.073078699999996,7.6418937000000255,,,,,,,,7.642721900000026,7.663139399999977,7.663139399999977,8.643981699999983,,,,,12.0,1.0,2026-02-04_10h30.24.878,visual_search,,2024.1.5,,2026-02-04 10h30.50.313313 +0530,,12_visual_search_2026-02-04_10h30.24.878.csv,,,,
red,,,,[-0.20777777777777778],[0.2288888888888889],[1],[0],[0],[1.1741900999999757],['target'],0.0,2.0,2.0,2.0,8.739661099999978,,,,,,,,,,,8.644442099999992,8.739661099999978,0.0724667000000067,8.739661099999978,8.739661099999978,8.739661099999978,9.890191800000023,,,,,,,,9.89102889999998,9.9122658,9.9122658,10.899025300000003,,,,,12.0,1.0,2026-02-04_10h30.24.878,visual_search,,2024.1.5,,2026-02-04 10h30.50.313313 +0530,,12_visual_search_2026-02-04_10h30.24.878.csv,,,,
red,,,,[0.011111111111111112],[-0.22777777777777777],[1],[0],[0],[1.4573685999999952],['target'],1.0,0.0,3.0,2.0,11.0045935,,,,,,,,,,,10.899497600000018,11.0045935,0.0865396000000373,11.0045935,11.0045935,11.0045935,12.435890099999996,,,,,,,,12.436829100000011,12.454620499999976,12.454620499999976,13.443144800000027,,,,,12.0,1.0,2026-02-04_10h30.24.878,visual_search,,2024.1.5,,2026-02-04 10h30.50.313313 +0530,,12_visual_search_2026-02-04_10h30.24.878.csv,,,,
white,,,,[-0.18666666666666668],[0.14],[1],[0],[0],[1.6508249999999975],['target'],1.0,1.0,4.0,1.0,13.54460130000001,,,,,,,,,,,13.443640500000017,13.54460130000001,0.080167700000004,13.54460130000001,13.54460130000001,13.54460130000001,15.168598700000018,,,,,,,,15.169436700000006,15.191541099999997,15.191541099999997,16.17049750000001,,,,,12.0,1.0,2026-02-04_10h30.24.878,visual_search,,2024.1.5,,2026-02-04 10h30.50.313313 +0530,,12_visual_search_2026-02-04_10h30.24.878.csv,,,,
