PlayerID,Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)",source_file
Player_2,2026-02-06T19:21:32.521001,multipleTargets,9,830,True,100.0,100.0,0,1197,985,"(177.91,248.22);(129.02,283.23);(159.60,225.30);(100.31,363.73);(107.97,300.29);(156.15,623.31);(229.71,476.96);(242.02,565.02);(79.65,334.63);(285.30,245.67);(87.90,235.64);(289.86,129.93)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:22:05.240064,multipleTargets,10,960,False,100.0,92.86,0,2570,1184,"(146.01,180.23);(144.94,119.43);(62.60,143.32);(5.82,70.82);(47.49,3.51);(64.13,109.27);(181.17,178.79);(79.17,126.08);(120.23,312.84);(80.65,399.39);(66.37,428.17);(61.02,363.76);(28.28,598.90)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:22:41.354168,multipleTargets,10,120,False,100.0,85.71,0,1707,1867,"(47.31,177.60);(133.06,10.65);(44.93,76.61);(15.54,222.96);(163.83,450.25);(75.46,465.46);(175.98,269.90);(261.06,40.98);(143.51,137.66);(4.78,151.26);(140.57,266.42);(223.79,369.09)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:23:15.755560,multipleTargets,10,130,True,87.5,100.0,2,1195,1796,"(218.18,239.22);(176.42,121.55);(68.57,148.44);(44.28,91.51);(316.43,51.56);(304.75,176.14);(295.79,224.53);(248.07,151.78);(84.81,257.38);(286.84,554.72);(168.84,326.93);(140.39,417.83);(5.39,263.06);(190.05,159.07)",23_attentional_spotter_results.csv
Player_2,2026-02-06T19:27:00.617262,multipleTargets,1,60,True,100.0,100.0,0,11918,552,"(163.56,290.45);(60.58,397.40);(94.13,511.73);(247.44,442.65);(268.11,497.52);(185.81,582.35)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:27:26.490010,multipleTargets,2,140,True,100.0,100.0,0,1584,415,"(32.18,85.32);(76.49,143.56);(134.34,317.70);(42.84,373.56);(33.15,466.35);(189.28,414.06);(247.50,470.60);(210.18,513.91)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:27:39.265393,multipleTargets,3,220,True,100.0,100.0,0,3022,518,"(141.43,36.14);(69.19,98.58);(130.24,233.14);(218.28,264.84);(164.59,403.54);(206.16,403.93);(178.59,453.39);(38.70,557.47)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:28:18.207407,multipleTargets,4,295,False,90.91,80.0,1,3081,3147,"(8.04,72.79);(70.96,175.25);(35.35,344.59);(42.80,291.77);(68.67,323.69);(22.14,265.27);(62.87,239.53);(137.99,430.43)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:28:46.266485,multipleTargets,4,100,True,100.0,100.0,0,1956,1919,"(50.83,94.47);(156.32,32.22);(223.22,106.68);(233.11,484.64);(292.65,617.34);(285.47,518.96);(284.03,494.17);(204.74,378.65);(84.03,192.28);(23.93,100.78)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:29:09.411058,multipleTargets,5,190,True,100.0,100.0,0,2186,1387,"(8.23,114.75);(90.38,178.05);(246.10,235.13);(205.29,107.00);(277.36,64.92);(23.73,524.63);(16.52,489.95);(167.31,469.42);(315.43,581.70)",24_attentional_spotter_results.csv
